topiId,topicProb,topicName,topicWords
72,0.01834,french,french cote brasserie bistro french_restaurant france paris french_food frites french_bistro snail steak_frites french_onion prix_fixe onion_soup mussel french_cuisine duck vin soup
73,0.04651,party,party event wedding team private_room wedding_reception th_birthday reception function helpful perfect group birthday_party nothing_too function_room recently private_party space much_trouble nick
74,0.00798,place,richmond baker_street greenhouse white_swan nursery rock bibendum garden_centre muriel_kitchen bacco muriel riccardo petersham_nursery bordello restaurant_richmond langley petersham richmond_park boccon richmond_hill
75,0.00644,mixed,surbiton hix pain_quotidien scoff_banter tota pain antelope tooting tartine bread tartines lucio organic kingston radisson_blu bowl pie lpq spread joy
76,0.00798,place,kew_garden kew bike princi brentford gino coach_horse scandinavian greyhound smith maid_honour swedish glasshouse wimpy kew_green frank kew_bridge high_road linnea cycling
77,0.88243,service,good very_good great nice lovely excellent tasty staff_very really_good very_tasty delicious very_nice staff_friendly good_value very_friendly not_too salad good_service waitress service_good
78,0.00673,chinese,dim_sum dumpling sum bao royal_china bun tea yauatcha dimsum chinatown china_town chinese cheung_fun hong_kong chinese_restaurant dim roll set_menu chinese_food trolley
79,0.00263,mixed- > cuisine?,ivy shepherd_pie celebrity grill ivy_market caprice celebs daphne garden fish_chip celeb reputation steak_tartare baked_alaska pie duck_salad market_grill chocolate_bombe bar ivy_chelsea
80,0.02633,band,live_music music band singer entertainment jazz gin opera musician singing song performance live_band live_jazz show opera_singer stage jazz_band balcony balcon
81,0.39957,service,great fun decor amazing cool style good interesting quirky wall seat unique experience inside real kind side part worth original
82,0.00352,service,voucher cocktail virgin_experience course_meal gift marco_pierre side_dish sticky_toffee side deal white three_course gift_voucher staff_very champagne_cocktail supplement experience marco mpw red_letter
83,0.00716,hotel,arfunkels premier_inn garfunkel frankie_benny holiday_inn breakfast fish_chip inn beefeater next_door f&b garfunkles salad_bar frankie burger leicester_square pasta pizza omelette starter
84,0.00322,ice-cream,ice_bar bar ice icebar experience drink cold warm ice_sculpture ice_glass photo bubble_tea adam cape glove glass fun sculpture small cape_glove
85,0.00812,greek,greek greek_food meze greek_restaurant greece real_greek greek_salad souvlaki moussaka kleftiko andy lamb authentic_greek cyprus dip greek_wine traditional_greek octopus cypriot mezze
86,0.06702,pub,pub garden dog beer_garden local sunday_roast sunday_lunch roast gastro_pub local_pub bar_staff burger child kid pub_food lovely summer great recently dog_friendly
87,0.00785,moroccan + performance,belly_dancer tagine moroccan couscous cous_cous lamb_tagine moro tagines momo morocco exmouth_market mint_tea north_african moroccan_food lamb mezze dancer belly_dancing morrocan belly
88,0.01309,deli,salt_beef sandwich balham deli kosher sardinian reuben jewish bagel kosher_restaurant gaby john_wood golders_green valentina beef soup pickle pastrami liver salad
89,0.01684,english (traditional),pie greenwich pie_mash rule mash gravy steak_kidney cutty_sark porter liquor pudding traditional game traditional_english pastry tourist british meat_pie english traditional_british
90,0.0078,vietnamese,pho vietnamese vietnamese_food spring_roll vietnamese_restaurant vietnam roll summer_roll noodle soup broth prawn noodle_soup beef pork bun banh authentic_vietnamese squid viet
91,0.01027,place,museum gallery exhibition tate_modern wanstead art tate albert imperial_war v&a benugo court national_portrait member collection chancery cafe tate_britain provender portrait
92,0.10977,service,cheap bad owner toilet dirty terrible food_not water basic cash pound rude awful cash_only card money horrible place_not not_place clean
93,0.21911,service,expensive good worth experience not_cheap wife world well_worth amazing special quality pound great cost cheap husband small son pricey treat
94,0.0625,steak,steak meat rib_eye side medium_rare fillet_steak rare sauce best_steak fries perfection good_steak steak_very sirloin grill fillet beef medium steak_chip sirloin_steak
95,0.00291,place,gbk galvin cau chapelle skinny_fries galvin_window hilton park_lane enzo galvins trader_vic hilton_park chapel lewisham lane hyde_park podium crab_lasagne baker_street luxe
96,0.0037,steak,hot_stone bun butter stone steak_hot ciao_bella sweet_potato flesh_bun angus_steakhouse cahoot cover_charge angus angela angus_steak ponti hot_plate rib_room steak_stone own_steak robin
97,0.00452,place,tony gymkhana yacht trishna sherlock sherlock_holmes giovanni pepe massimo corinthia northall corinthia_hotel pino sale hazara wild_boar kid_goat lobby_lounge sherlock_fan connection
98,0.2162,service,branch very_busy busy quickly server drink kid food_good service quick child waitress usual straight_away daughter good_service chain_restaurant fast manager bill
99,0.00739,malaysian,malaysian laksa malaysian_food asian malaysia satay beef_rendang nasi_goreng asian_food rendang nasi_lemak curry sambal roti singapore asia indonesian roti_canai noodle penang
100,0.22933,bar,bar drink bar_staff great night beer great_place bar_area group food_drink busy crowd staff_very few_drink friday_night friendly space nice snack drink_food
101,0.01881,michelin,tasting_menu michelin_star wine sommelier foie_gras amuse_bouche star fine_dining michelin_restaurant lunch_menu gavroche course_tasting taster_menu petit_four chef wife kitchen michelin course_menu cheese
102,0.00193,british,meat_fruit maze ledbury ice_cream heston gordon_ramsay kitchen tipsy_cake gordon_ramsey gordon fat_duck ramsay maze_grill ramsey fruit hyde_park tour_kitchen mandarin_oriental dinner_heston pigeon
103,0.00537,places,brasserie_blanc lido haymarket mint_leaf maida_vale spice_market brumus raymond_blanc cafe_royal oscar_wilde pharmacy ten_room blanc harold_pinter phantom_opera villiers_street warwick warrington majesty_theatre villiers
104,0.02222,vegetarian,vegan vegetarian veggie healthy raw organic vegetarian_restaurant vegetarian_food salad gate sweet_potato curry smoothie meat_eater weight vegan_food tofu not_vegetarian vegan_option mildred
105,0.08098,pub,pub beer fish_chip pint ale pub_food pie real_ale drink good_selection local bar_staff good_beer pub_very pub_great traditional_pub london_pub pub_grub pub_good good_pub
106,0.01906,north indian,lamb_chop tayyabs chop grill biryani family naan punjab kebab southall starter punjabi taste butter_chicken curry paneer karahi pakistani lahore mixed_grill
107,0.01233,movie,cinema film tudor_barn movie marianne eltham barn tudor altitude farleigh popcorn screen golf arthur feast upstairs masala_grill ticket belair_house ground
108,0.00898,brazilian,meat brazilian skewer buffet salad_bar cabana brazil salad beef sausage rodizio brazilian_food round brazilian_restaurant side preto cut red cut_meat green
109,0.04103,discount,voucher deal taste_card tastecard groupon_voucher offer groupon discount full_price groupon_deal card course_meal half_price voucher_not worth website amazon_local wowcher_deal voucher_deal glass_wine
110,0.02809,buffet,buffet dessert buffet_style selection jimmy ice_cream variety desert section buffet_food station drink chinese self_service fresh child buffet_restaurant food_not money chef
111,0.00617,places,bella_italia orangery mario palace kensington_palace park bella hyde_park kensington_garden royal garden reservation park_terrace royal_garden dessert toilet line kensington field marco_polo
112,0.00425,italian,polpo small_plate meatball italian_tapa cicchetti arancini tozi tapa tapas_style concept bocca bar lupo fritto_misto venetian pizzette small_dish bone_marrow tapa_style brigade
113,0.10022,mixed,chef wine_list dessert wine bread flavour lamb excellent ingredient delicious starter kitchen cooking beef pork ice_cream interesting cream meat perfectly
114,0.01877,places,brixton hackney streatham bethnal_green dalston brixton_village east_london market brixton_market bumpkin student vauxhall east_end broadway_market hipster village mile_end victoria_park herne_hill streatham_hill
115,0.01212,american,diner hot_dog milkshake dog american american_diner shake hotdog shrimp american_style fries new_york booth bubba_gump mac_cheese america film pancake music usa
116,0.02992,fried chicken,chicken nandos nando kfc peri_peri wing sauce side whole_chicken chicken_burger halal coleslaw fast_food half_chicken chicken_chip piri_piri chicken_wing branch chicken_shop fries
117,0.00503,argentina,gaucho steak hawksmoor meat cut wine side argentinian malbec best_steak goodman bone_marrow empanadas argentina different_cut dark waitress rib_eye starter cut_meat
118,0.00603,indian mixed,khan hampton shampan lotus zaika babur red_fort zayna honor_oak indes maya mauritian porte_des forester sitar mughal amber_fort pink_garlic golden_oven wild_mango
119,0.00376,indian,queue dishoom chai line long_queue wait bombay shoreditch covent_garden naan daal chicken_ruby indian_food indian black_daal worth_wait okra_fries india queue_outside calamari
120,0.00478,european + performance,show act entertainment cabaret circus burlesque performance performer orrery proud_cabaret proud stage waitress host funny paris metro revolution entertaining martina
121,0.0093,places,hammersmith apollo river_cafe olympia woodford grove hatch_end andover_arm petts_wood south_woodford rangrez king_street potli hammersmith_tube hammersmith_apollo west_london dove show greig chuck
122,0.01744,stations,station train king pancras euston king_cross euston_station train_station king_station pancras_station gilbert_scott caravan platform train_home eurostar railway_station journey home booking_office euston_road
123,0.00297,british,savoy savoy_grill grill beef_wellington american_bar pre_theatre savoy_hotel wellington gordon_ramsay gordon_ramsey kaspar sommelier chef art_deco chef_table voucher trolley kitchen drink lobster_bisque
124,0.00612,mixed,earl_court flat_iron ice_cream popcorn special court side simple cream blackbird brickyard pound ready free_ice troubadour spinach simple_menu only_one aubergine queue
125,0.00626,modern dining,murano barnes franco mustard angela_hartnett angela cafe_murano quo_vadis wilmington depot york_albany sonny james riva steak good east_sheen sheen jaipur abingdon
